MeanNoTarget,ModalType,Responses,factive,genre,gold_label,sentence1,sentence2,uID,restrict,SuperGLUE_split,Verb,Embedding,environment,mean.noT,sd.noT,EmbedPredID,VerbID,Context,Verb_raw,MatSubjLemma,MatSubjNum,MatSubjPer,MatTense,VerbID_w_context
-0.111111111111111,,"2, 3, 3, 1, 3, 1, 2, 1, 2",no,BNC,entailment,Polly had to think quickly . They were still close enough to shore for him to return her to the police if she admitted she was not an experienced ocean sailor .,Polly was not an experienced ocean sailor,BNC-1,True,test,admit,conditional,conditional,-0.111111111111111,1.26929551764398,19,17,Polly had to think quickly.,admitted,she,singular,third,future,23.0
1.2,CI,"2, 1, 3, 1, 2, 2, 3, 1",no,BNC,entailment,"Nevertheless , life went on as it always does . By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies . Indeed it could be said that they had prospered .",the Kiwi Keith and the Mackenzie houses had prospered,BNC-1002,True,test,say,modal,modal,1.2,1.87379590967403,8,4,"Nevertheless, life went on as it always does. By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies.",said,it,singular,third,present,54.0
-0.25,AB,"2, 0, 1, 0, 0, 3, -1, 0, 1, 0, 0, 2",no,BNC,neutral,"He patted her hand . If he had chosen to , Thomas might have told her in no uncertain terms what was wrong . He might have said to her that some time in the middle of the nineteenth century a cult had grown up around the idea of the home .",some time in the middle of the nineteenth century a cult had grown up around the idea of the home,BNC-1003,False,,say,modal,modal,-0.25,0.462910049886276,19,3,"He patted her hand. If he had chosen to, Thomas might have told her in no uncertain terms what was wrong.",said,he,singular,third,present,27.0
0.6363636363636359,AB,"2, 1, 0, 1, -1, 1, 1, 2",no,BNC,neutral,"She could see his distorted image in the slanted glass of the car 's windows , dim in the background , still lit by his instruments . She wondered how she could ever have thought that she loved him , and why she had stayed with him for so long after she 'd realised that if she ever had , she did not love him now . Of course she could say it was for the children as people always did ... It was true up to a point .",it was for the children,BNC-1005,False,,say,modal,modal,0.6363636363636359,1.12006493318265,6,4,"She could see his distorted image in the slanted glass of the car's windows, dim in the background, still lit by his instruments. She wondered how she could ever have thought that she loved him, and why she had stayed with him for so long after she 'd realised that if she ever had, she did not love him now.",say,she,singular,third,future,71.0
-1.09090909090909,AB,"3, 1, -2, -3, -3, 3, 2, 1, -1, -1",no,BNC,neutral,"She glanced around the room , laying her hot flushed face against the cool pillow , listening to the bang of a cupboard door below , the chinks of crockery . The room seemed empty without him , strange and unfriendly . Robyn swallowed and took a deep breath trying to compose herself so that when he returned she could say that it was all right she felt fine now .",it was all right,BNC-1006,False,,say,modal,modal,-1.09090909090909,1.0444659357341899,21,18,"She glanced around the room, laying her hot flushed face against the cool pillow, listening to the bang of a cupboard door below, the chinks of crockery. The room seemed empty without him, strange and unfriendly.",say,she,singular,third,future,60.0
-0.555555555555556,AB,"3, 2, 1, 1, 1, 2, 2, 3",no,BNC,entailment,"In the clenched - to - cracking night We mouthed the hope , gave it a name : twenty - sixty - two still trembles in the flinching air and catches , bright rag on a bramble . At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye - muscles steer frantically through their dark when sounds of a high - revving motor are played to swelling , quizzically - smiling moms and wondered if there 's anywhere on earth - Australasia or Amazonian forest - to find an unborn innocent of engines . Then it was time to watch `` Tomorrow 's World '' and I thought of Sheila with her firstborn encircling him with Mozart in the womb but waking him at three months ' old to be a witness to be held up towards the moon on television so one day he could say he 'd shared in man 's first giant steps .",Sheila's firstborn had shared in man's first giant steps,BNC-1010,True,test,say,modal,modal,-0.555555555555556,1.81046341520004,55,52,"In the clenched-to-cracking night We mouthed the hope, gave it a name: twenty-sixty-two still trembles in the flinching air and catches, bright rag on a bramble. At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye-muscles steer frantically through their dark when sounds of a high-revving motor are played to swelling, quizzically-smiling moms and wondered if there's anywhere on earth-Australasia or Amazonian forest-to find an unborn innocent of engines.",say,he,singular,third,past,159.0
-1.09090909090909,AB,"1, 2, -3, -1, 1, 2, 0, 3, 3",no,BNC,neutral,"Dynmouth was becoming a nasty kind of place . '' Poor Miss Poraway , '' Quentin said as they washed the tea dishes , and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything . She wished she could say she was sorry now not in the middle of the night when he was asleep .",Lavinia was sorry now,BNC-1012,False,,say,modal,modal,-1.09090909090909,1.13618180363404,6,4,"Dynmouth was becoming a nasty kind of place.'' Poor Miss Poraway,'' Quentin said as they washed the tea dishes, and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything.",say,she,singular,third,present,44.0
0.45454545454545503,EP,"1, 0, 0, 3, 0, 3, 1, 3",no,BNC,entailment,Stan was running a business and needed funds to buy stock and time to work on new finds . The price proposed was on the open market and Stuttgart was happy to offer it . Some might say that compared to the prices paid for works of art $ 180 000 is a modest sum for a unique creature - the oldest reptile on earth .,compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth,BNC-1014,False,,say,modal,modal,0.45454545454545503,1.5724907862137902,4,2,Stan was running a business and needed funds to buy stock and time to work on new finds. The price proposed was on the open market and Stuttgart was happy to offer it.,say,some,plural,third,present,37.0
-0.6363636363636359,CI,"2, 1, 1, 2, 2, 2, 3, 2, 3",no,BNC,entailment,It was a complex language . Not written down but handed down . One might say it was peeled down .,the language was peeled down,BNC-1015,True,train,say,modal,modal,-0.6363636363636359,1.5015143870591,5,2,It was a complex language. Not written down but handed down.,say,one,singular,third,present,15.0
-0.5,EP,"2, 3, 2, 3, 0, 2, -1, 0, 3",no,BNC,entailment,"Some would say her hair is her finest feature , though Robyn herself secretly hankers after something more muted and malleable , hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir 's , or allowed to fall to the shoulders in a Pre - Raphaelite cloud . As it is , there is not much she can do with her curls except , every now and again , crop them brutally short just to demonstrate how inadequately they represent her character . Her face is comely enough to take short hair though perfectionists might say that the grey - green eyes are a little close - set and the nose and chin are a centimetre longer than Robyn herself would have wished .",the grey-green eyes are a little close-set,BNC-1018,False,,say,modal,modal,-0.5,1.43372087784044,19,12,"Some would say her hair is her finest feature, though Robyn herself secretly hankers after something more muted and malleable, hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir's, or allowed to fall to the shoulders in a Pre-Raphaelite cloud. As it is, there is not much she can do with her curls except, every now and again, crop them brutally short just to demonstrate how inadequately they represent her character.",say,perfectionist,plural,third,present,106.0
-0.222222222222222,EP,"3, 3, 1, 0, -1, 0, 1, 1",no,BNC,neutral,"Hardly , thought Jaq . Nor could Obispal exactly be viewed as incompetent , despite his last - moment slackening of judgement when he charged into that trap in the arcade . A cynic might say that Obispal 's activities were directly responsible for triggering the rebellion and thus for all the deaths including those of millions of bystanders .",Obispal's activities were directly responsible for triggering the rebellion,BNC-1019,False,,say,modal,modal,-0.222222222222222,1.5634719199411398,8,3,"Hardly, thought Jaq. Nor could Obispal exactly be viewed as incompetent, despite his last-moment slackening of judgement when he charged into that trap in the arcade.",say,a cynic,singular,third,future,35.0
0.25,CI,"3, 2, 2, 3, 3, -1, 3, 3",no,BNC,entailment,"Perhaps I should apologize for my tears . As a rationalist , I had but to snap my rational fingers , it might be argued , and the devil would fade away in a puff of smoke . To which I might say that rationalist or not I had spent too many years in my capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions .",he had spent too many years in his capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions,BNC-1020,True,test,say,modal,modal,0.25,1.16496474502144,11,4,"Perhaps I should apologize for my tears. As a rationalist, I had but to snap my rational fingers, it might be argued, and the devil would fade away in a puff of smoke.",say,I,singular,first,present,42.0
-0.25,CI,"2, 3, 3, 3, 3, 3, 3, 1, 3",no,BNC,entailment,"It is part of their religion , a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours . At one of their great festivals they have the ritual of driving out the devils from their bodies . First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission .",no women are allowed to take part in this ritual,BNC-1024,True,train,say,modal,modal,-0.25,0.707106781186548,13,8,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies.",say,I,singular,first,present,59.0
0.0,AB,"2, 2, 3, 3, -1, 3, 3, 3, -2",no,BNC,entailment,He looked at me questioningly . I wished I could say yes I minded like hell it would n't cost me much in the circumstances .,she minded like hell,BNC-1031,False,,say,modal,modal,0.0,0.8660254037844392,7,4,He looked at me questioningly.,say,I,singular,first,present,10.0
-0.33333333333333304,AB,"-3, -3, 0, -2, -3, -3, -3, -1, 0",no,BNC,contradiction,"The kitchen radiator does n't work and the Calorgas fire had n't warmed the place up yet . I began to wonder about how long hypothermia takes to kill someone , I mean what if I left Mum there overnight - would that be long enough ? I could say that she must have gone wandering .",Mum must have gone wandering,BNC-1032,False,,say,modal,modal,-0.33333333333333304,1.43548112513055,7,2,"The kitchen radiator doesn't work and the Calorgas fire hadn't warmed the place up yet. I began to wonder about how long hypothermia takes to kill someone, I mean what if I left Mum there overnight - would that be long enough?",say,I,singular,first,future,49.0
2.0,AB,"2, 3, 3, 1, 3, 2, -2, -1",no,BNC,entailment,At this rate I 'll be a Homelessness Statistic . A student ! I could say I 'm a student .,she is a student,BNC-1035,False,,say,modal,modal,2.0,2.0,4,2,At this rate I 'll be a Homelessness Statistic. A student!,say,I,singular,first,future,15.0
-0.75,CI,"2, 1, -1, 3, 1, 2, 1, 2",no,BNC,entailment,"The Paris to Rouen railway was being extended to Le Havre , and the line cut straight through Dr Flaubert 's land . Part of it was to be compulsorily purchased . You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy .",Gustave was shepherded into creative retreat at Croisset by epilepsy,BNC-1046,True,train,say,modal,modal,-0.75,1.3887301496588302,6,2,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased.",say,you,unknown,second,present,34.0
